# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
1.050000e+05, 1.098488e+05, 1.039729e+05, 1.274604e-03, 7.452638e-04, 2.187871e-03, 7.120211e-04, 0.000000e+00, 0.000000e+00, 2.034846e-11, 9.812517e-34, 2.437484e-04, 3.257394e-04, 1.255839e-03, 1.944325e-06, 0.000000e+00   
1.056000e+05, 1.098464e+05, 1.039708e+05, 1.311301e-03, 7.660375e-04, 2.232717e-03, 7.264371e-04, 0.000000e+00, 0.000000e+00, 2.678408e-11, 1.016542e-33, 2.647349e-04, 3.455348e-04, 1.304365e-03, 1.945562e-06, 0.000000e+00   
1.062000e+05, 1.098471e+05, 1.039714e+05, 1.339967e-03, 7.912485e-04, 2.279898e-03, 7.463790e-04, 0.000000e+00, 0.000000e+00, 3.459824e-11, 1.062483e-33, 2.831894e-04, 3.697855e-04, 1.341382e-03, 1.946065e-06, 0.000000e+00   
1.068000e+05, 1.098491e+05, 1.039730e+05, 1.388036e-03, 8.055857e-04, 2.305567e-03, 7.683014e-04, 0.000000e+00, 0.000000e+00, 9.654240e-11, 1.166025e-33, 3.162118e-04, 3.787795e-04, 1.351266e-03, 1.946229e-06, 0.000000e+00   
1.074000e+05, 1.098473e+05, 1.039715e+05, 1.436657e-03, 8.159140e-04, 2.320034e-03, 7.862021e-04, 1.513624e-08, 1.095017e-06, 1.122866e-05, 1.420799e-33, 3.499332e-04, 3.855564e-04, 1.359948e-03, 1.946073e-06, 0.000000e+00   
1.080000e+05, 1.098463e+05, 1.039707e+05, 1.473884e-03, 8.234171e-04, 2.333535e-03, 8.005460e-04, 8.370474e-07, 8.259766e-06, 5.904252e-05, 1.943783e-33, 3.753119e-04, 3.909641e-04, 1.372768e-03, 1.945907e-06, 0.000000e+00   
1.086000e+05, 1.098440e+05, 1.039688e+05, 1.493726e-03, 8.372209e-04, 2.366016e-03, 8.094972e-04, 2.483011e-06, 1.638853e-05, 1.171704e-04, 2.744803e-33, 3.881502e-04, 4.043973e-04, 1.404354e-03, 1.945788e-06, 0.000000e+00   
1.092000e+05, 1.098456e+05, 1.039701e+05, 1.505215e-03, 8.564206e-04, 2.399100e-03, 8.179394e-04, 4.262650e-06, 2.902806e-05, 1.783218e-04, 4.232781e-33, 3.957798e-04, 4.229707e-04, 1.433135e-03, 1.945730e-06, 0.000000e+00   
1.098000e+05, 1.098458e+05, 1.039702e+05, 1.524727e-03, 8.703129e-04, 2.423140e-03, 8.280756e-04, 7.424273e-06, 4.363533e-05, 2.427853e-04, 7.435124e-33, 4.108367e-04, 4.362283e-04, 1.445145e-03, 1.945767e-06, 0.000000e+00   
1.104000e+05, 1.098445e+05, 1.039692e+05, 1.549014e-03, 8.774242e-04, 2.442693e-03, 8.412830e-04, 1.134410e-05, 5.691365e-05, 3.153012e-04, 1.352678e-32, 4.294560e-04, 4.397518e-04, 1.446884e-03, 1.945791e-06, 0.000000e+00   
